Leaf Number,Latitude Range,Longitude Range
156,"(37.75937271118164, 38.268184661865234)","(126.48760604858398, 127.45685195922852)"
157,"(37.20052909851074, 38.268184661865234)","(127.45685195922852, 128.1473388671875)"
158,"(37.20052909851074, 38.268184661865234)","(128.1473388671875, 130.6852798461914)"
159,"(-90, -32.46274948120117)","(130.6852798461914, 138.11260986328125)"
160,"(-90, -32.46274948120117)","(138.11260986328125, 139.03292846679688)"
161,"(-90, -32.46274948120117)","(139.03292846679688, 142.33482360839844)"
162,"(-90, -32.46274948120117)","(142.33482360839844, 143.29104614257812)"
163,"(-90, -32.46274948120117)","(143.29104614257812, 144.26673889160156)"
164,"(-90, -32.46274948120117)","(144.26673889160156, 144.27171325683594)"
165,"(-90, -32.46274948120117)","(144.27171325683594, 150.4645767211914)"
166,"(-90, -32.46274948120117)","(150.4645767211914, 167.06167602539062)"
167,"(-32.46274948120117, -21.49977970123291)","(130.6852798461914, 151.5924835205078)"
168,"(-21.49977970123291, 26.19636631011963)","(130.6852798461914, 151.5924835205078)"
169,"(-32.46274948120117, -28.188185691833496)","(151.5924835205078, 167.06167602539062)"
170,"(-28.188185691833496, 26.19636631011963)","(151.5924835205078, 167.06167602539062)"
171,"(26.19636631011963, 35.600975036621094)","(130.6852798461914, 139.4081802368164)"
172,"(26.19636631011963, 35.600975036621094)","(139.4081802368164, 167.06167602539062)"
173,"(35.600975036621094, 35.6378116607666)","(130.6852798461914, 167.06167602539062)"
174,"(35.6378116607666, 38.268184661865234)","(130.6852798461914, 167.06167602539062)"
175,"(-90, -52.40788269042969)","(167.06167602539062, 180)"
176,"(-52.40788269042969, -51.08694839477539)","(167.06167602539062, 180)"
177,"(-51.08694839477539, -48.69073295593262)","(167.06167602539062, 180)"
178,"(-48.69073295593262, -45.437326431274414)","(167.06167602539062, 172.68868255615234)"
179,"(-45.437326431274414, -37.67545509338379)","(167.06167602539062, 172.68868255615234)"
180,"(-48.69073295593262, -39.160648345947266)","(172.68868255615234, 180)"
181,"(-39.160648345947266, -37.67545509338379)","(172.68868255615234, 180)"
182,"(-37.67545509338379, -36.954185485839844)","(167.06167602539062, 175.70378875732422)"
183,"(-37.67545509338379, -36.954185485839844)","(175.70378875732422, 180)"
184,"(-36.954185485839844, -31.77621841430664)","(167.06167602539062, 174.72877502441406)"
185,"(-36.954185485839844, -31.77621841430664)","(174.72877502441406, 180)"
186,"(-31.77621841430664, -17.542000770568848)","(167.06167602539062, 180)"
187,"(-17.542000770568848, -3.88497257232666)","(167.06167602539062, 180)"
188,"(-3.88497257232666, 38.268184661865234)","(167.06167602539062, 180)"
189,"(38.268184661865234, 43.20462608337402)","(-26.457131385803223, -6.519190788269043)"
190,"(43.20462608337402, 46.778310775756836)","(-26.457131385803223, -6.519190788269043)"
191,"(38.268184661865234, 46.778310775756836)","(-6.519190788269043, -0.11546183377504349)"
192,"(38.268184661865234, 46.778310775756836)","(-0.11546183377504349, 6.006152868270874)"
193,"(38.268184661865234, 46.137718200683594)","(6.006152868270874, 7.182048797607422)"
194,"(46.137718200683594, 46.778310775756836)","(6.006152868270874, 7.182048797607422)"
195,"(38.268184661865234, 46.778310775756836)","(7.182048797607422, 7.361892223358154)"
196,"(38.268184661865234, 46.778310775756836)","(7.361892223358154, 15.011570453643799)"
197,"(38.268184661865234, 39.60691452026367)","(15.011570453643799, 24.693077087402344)"
