id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
9771,Pinicola enucleator,Fringillidae,Animalia,Chordata,Pinicola,Aves,Pinicola,794028,"[2, 0, 0]",,[8],"[405, 482, 18, 551, 589]","[33, 204, 47, 1]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",306.0,,187.0,,Stable
9832,Diglossa plumbea,Thraupidae,Animalia,Chordata,Diglossa,Aves,Diglossa,45510276,"[2, 0]","[21.6, 24.0, 33.0, 32.0]",[8],"[51, 147, 193, 49, 589]","[269, 110, 238, 84, 77]","[98, 34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",346401.0,6762.0,6174.0,40.0,Decreasing
10079,Tachyphonus coronatus,Thraupidae,Animalia,Chordata,Tachyphonus,Aves,Tachyphonus,47364809,"[2, 0, 0]",104.49,[8],"[94, 526, 277, 26]","[222, 222, 58, 279]","[33, 30, 52, 89, 39]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[7, 0, 15]",674.0,362.0,353.0,3.0,Stable
10090,Phrygilus atriceps,Thraupidae,Animalia,Chordata,Phrygilus,Aves,Phrygilus,45510959,"[2, 0]","[18.0, 17.0]",[8],"[340, 298, 87, 219, 353]","[63, 198, 222, 279, 276]","[30, 82, 32, 40]","[1000.0, 5000.0]",10.0,"[11, 12]",680845.0,,,101.0,Stable
10168,Pooecetes gramineus,Passerellidae,Animalia,Chordata,Pooecetes,Aves,Pooecetes,60783392,"[2, 0]",,[],[],"[238, 29, 232, 61, 243]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",,,,,nan
10243,Icteria virens,Parulidae,Animalia,Chordata,Icteria,Aves,Icteria,45508936,"[2, 0]","[268.0, 204.0]",[8],"[151, 136, 402, 325, 211]","[237, 225, 122, 15, 106]","[42, 90, 53, 98, 32]","[5000.0, 1000.0]",20.0,[12],136653.0,355.0,245.0,4.0,Decreasing
10373,Molothrus ater,Icteridae,Animalia,Chordata,Molothrus,Aves,Molothrus,344589,"[2, 0]","[17250.0, 2235.0, 17500.0, 2196.14, 17186.09]",[8],"[547, 145, 104, 215, 140]","[117, 121, 25, 235, 124]","[95, 58, 32]",,,"[16, 14, 8]",,773.0,393.0,1.0,Decreasing
10506,Dacnis cayana,Thraupidae,Animalia,Chordata,Dacnis,Aves,Dacnis,45513301,"[2, 0]",51.5,[8],"[510, 531, 168, 97, 397]","[122, 58, 122, 22]","[20, 53, 54, 81, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",23310.0,,,4.0,Decreasing
10585,Calamospiza melanocorys,Passerellidae,Animalia,Chordata,Calamospiza,Aves,Calamospiza,60973259,"[2, 0]",,[],[],"[122, 177, 143]",[],"[5000.0, 1000.0]",20.0,"[11, 12]",,868.0,,1.0,nan
10719,Trichothraupis melanops,Thraupidae,Animalia,Chordata,Trichothraupis,Aves,Trichothraupis,45515053,"[2, 0]","[15.0, 13.8]",[8],"[67, 243, 104, 155, 433]","[108, 222, 273, 56, 9]","[82, 32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",20480.0,,,2.0,Stable
10834,Xiphocolaptes promeropirhynchus,Furnariidae,Animalia,Chordata,Xiphocolaptes,Aves,Xiphocolaptes,45518176,"[2, 0]",,[],"[524, 83, 394, 154, 268]","[34, 188, 276, 98, 66]","[44, 82, 42, 5]","[1000.0, 5000.0]",10.0,"[11, 12]",723436.0,10051.0,9272.0,6.0,nan
11114,Lochmias nematura,Furnariidae,Animalia,Chordata,Lochmias,Aves,Lochmias,333194,"[1, 2]",,[8],"[104, 426, 187, 357, 176]","[273, 56, 22, 98, 247]","[34, 32]",,,[13],,484.0,466.0,11.0,Unknown
11586,Lepidocolaptes leucogaster,Furnariidae,Animalia,Chordata,Lepidocolaptes,Aves,Lepidocolaptes,45513933,"[2, 0]",1080.0,[8],"[375, 176, 411, 560, 562]","[114, 29, 108, 273, 56]","[34, 26, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",232069.0,4216.0,4112.0,1.0,Decreasing
11896,Hirundo smithii,Hirundinidae,Animalia,Chordata,Hirundo,Aves,Hirundo,333376,"[1, 2]",,[8],"[260, 239, 30, 174, 42]","[58, 220, 106, 134, 200]","[34, 32]",,,[13],,264.0,179.0,,Stable
11970,Stelgidopteryx serripennis,Hirundinidae,Animalia,Chordata,Stelgidopteryx,Aves,Stelgidopteryx,45515382,"[2, 0]","[12.0, 15.0]",[8],"[516, 338, 581, 67, 96]","[33, 185, 114, 232, 273]","[32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",205666.0,,,,Increasing
11972,Stelgidopteryx ruficollis,Hirundinidae,Animalia,Chordata,Stelgidopteryx,Aves,Stelgidopteryx,45517524,"[2, 0]",53.4,[8],"[21, 360, 579, 320, 216]","[173, 256, 119, 185, 110]","[17, 53, 20, 78, 77]","[1000.0, 5000.0]",10.0,"[11, 12]",10035.0,208.0,165.0,9.0,Stable
12024,Lanius ludovicianus,Laniidae,Animalia,Chordata,Lanius,Aves,Lanius,45518381,"[2, 0]",,[8],"[442, 293, 189, 394, 458]","[34, 188, 66]","[43, 42, 17, 44, 74]","[1000.0, 5000.0]",10.0,"[11, 12]",161736.0,,,3.0,Decreasing
12038,Lanius collurio,Laniidae,Animalia,Chordata,Lanius,Aves,Lanius,328652,"[2, 0]","[55509.0, 55509.0, 3154.67, 33631.33, 59500.0]",[8],"[254, 319, 587, 341, 3]","[237, 18, 181, 101, 75]","[5, 7, 53, 95, 44]",,,"[16, 16, 14, 8]",,239283.0,211719.0,22.0,Stable
12048,Lanius cabanisi,Laniidae,Animalia,Chordata,Lanius,Aves,Lanius,4384697,"[2, 0]",,[],[],"[110, 110]","[98, 5, 17]","[1000.0, 5000.0]",10.0,"[11, 12]",10929.0,,,,nan
12063,Malurus elegans,Maluridae,Animalia,Chordata,Malurus,Aves,Malurus,327376,"[2, 0]","[55.0, 52.0, 62.46]",[8],"[194, 517, 112, 353, 340]","[222, 279, 276, 126]","[8, 44, 32]",,,[8],,1528.0,1371.0,98.0,Stable
12237,Acanthorhynchus superciliosus,Meliphagidae,Animalia,Chordata,Acanthorhynchus,Aves,Acanthorhynchus,45517412,"[2, 0]",,[8],[],"[33, 7, 7, 110, 33]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",187515.0,1629.0,1453.0,3.0,Unknown
12305,Meliphaga lewinii,Meliphagidae,Animalia,Chordata,Meliphaga,Aves,Meliphaga,45510968,"[2, 0]","[7.0, 6.4, 6.8]",[8],"[574, 280, 529, 219, 390]","[63, 57, 222, 279, 58]","[74, 42, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",54836.0,1925.0,1558.0,,Decreasing
12329,Philemon corniculatus,Meliphagidae,Animalia,Chordata,Philemon,Aves,Philemon,794676,"[2, 0]",15.54,"[8, 9]","[514, 388, 254, 226, 204]","[222, 222, 279, 199]","[17, 5, 42, 32]","[2000.0, 500.0]",40.0,[16],1549.0,863.0,662.0,,Stable
12443,Myzomela sanguinolenta,Meliphagidae,Animalia,Chordata,Myzomela,Aves,Myzomela,45511164,"[2, 0]","[105.0, 142.0, 124.0]",[7],"[369, 177, 514, 526, 449]","[241, 63, 57, 135, 150]","[17, 11, 32, 10, 71]","[1000.0, 5000.0]",10.0,"[11, 11, 12]",10713652.0,68988.0,55466.0,361.0,Decreasing
12526,Lichmera indistincta,Meliphagidae,Animalia,Chordata,Lichmera,Aves,Lichmera,795256,"[2, 0]",9.99,[],"[154, 458, 189, 269, 178]","[66, 66, 188]",[],"[2000.0, 500.0]",40.0,[16],,,,,nan
12641,Phylidonyris pyrrhopterus,Meliphagidae,Animalia,Chordata,Phylidonyris,Aves,Phylidonyris,1055558,"[2, 0, 0]","[501.0, 8144.28]",[],"[54, 427, 394, 584, 326]","[188, 152, 98, 50, 66]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",,,416.0,,nan
12707,Turdus pilaris,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus,45515816,"[2, 0]",230.0,"[0, 8]","[372, 222, 346, 275, 528]","[175, 147, 108, 112, 64]","[32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",36566.0,,,2.0,Stable
