id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
42220,Odocoileus hemionus,Cervidae,Animalia,Chordata,Odocoileus,Mammalia,Odocoileus,323672,"[2, 0]","[4.5, 0.25, 7.25, 4.1, 4.73]",[8],"[79, 12, 339, 439, 227]","[24, 222, 47, 1, 49]","[63, 58, 69, 10, 17]",,,"[9, 8]",56654.0,878.0,518.0,245.0,Stable
42223,Odocoileus virginianus,Cervidae,Animalia,Chordata,Odocoileus,Mammalia,Odocoileus,45515806,"[2, 0]","[2198.0, 3000.0]","[0, 3]","[375, 547, 562, 81, 483]","[140, 111, 28, 115, 263]","[43, 82, 44, 98, 17]","[5000.0, 1000.0]",20.0,"[11, 12]",94817.0,2829.0,2645.0,2.0,Decreasing
42228,Blastocerus dichotomus,Cervidae,Animalia,Chordata,Blastocerus,Mammalia,Blastocerus,45511548,"[2, 0]",808.0,"[0, 8]","[151, 582, 132, 39, 265]","[122, 143, 252, 220, 177]","[91, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",102376.0,3377.0,3231.0,3.0,Stable
42328,Kobus ellipsiprymnus,Bovidae,Animalia,Chordata,Kobus,Mammalia,Kobus,45512089,"[2, 0]","[3133.0, 2960.0, 2960.0, 3310.0]","[0, 3, 1]",[164],"[108, 108, 124, 121, 121]","[5, 82, 69, 32, 26]","[5000.0, 1000.0]",20.0,"[7, 11, 17, 12]",11825.0,3438.0,2540.0,9.0,Decreasing
42332,Hippotragus equinus,Bovidae,Animalia,Chordata,Hippotragus,Mammalia,Hippotragus,1055813,"[2, 0]",3.53,[8],"[103, 178, 442, 189, 66]","[188, 66]",[32],"[2000.0, 500.0]",40.0,[16],18699.0,541.0,431.0,,Stable
42336,Pelea capreolus,Bovidae,Animalia,Chordata,Pelea,Mammalia,Pelea,1039124,"[2, 0]",,[8],"[380, 486, 189, 391, 131]","[188, 276, 98, 66, 66]","[82, 34, 32]",,,[13],,3138.0,2468.0,,Stable
42380,Ourebia ourebi,Bovidae,Animalia,Chordata,Ourebia,Mammalia,Ourebia,45517519,"[2, 0]","[16.0, 18.6]",[8],"[350, 549, 370, 558, 162]","[1, 47, 239, 197, 127]","[54, 81, 20, 78, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",12643.0,419.0,383.0,1.0,Stable
42657,Didelphis aurita,Didelphidae,Animalia,Chordata,Didelphis,Mammalia,Didelphis,45517450,"[2, 0]",,[],"[284, 240, 74, 552, 28]","[33, 204, 47, 98, 239]","[53, 78]","[1000.0, 5000.0]",10.0,"[11, 12]",128193.0,1564.0,1337.0,,nan
42715,Acrobates pygmaeus,Acrobatidae,Animalia,Chordata,Acrobates,Mammalia,Acrobates,45515669,"[2, 0]",10.8,[8],"[46, 456, 562, 35]","[114, 222, 56, 235, 64]","[53, 20, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",6818.0,,,,Stable
42722,Petaurus norfolcensis,Petauridae,Animalia,Chordata,Petaurus,Mammalia,Petaurus,45513164,"[2, 0]",16.0,[8],"[136, 359, 319, 42, 510]","[225, 143, 252, 177, 251]","[74, 32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",22921.0,270.0,222.0,3.0,Decreasing
42888,Macropus giganteus,Macropodidae,Animalia,Chordata,Macropus,Mammalia,Macropus,1039145,"[1, 3, 2]",,[8],"[358, 141, 460, 543, 362]","[222, 1, 41, 88, 39]","[78, 5, 42, 42, 78]",300.0,48.0,"[7, 13, 13]",,1401.0,1282.0,,Decreasing
42961,Thylogale stigmatica,Macropodidae,Animalia,Chordata,Thylogale,Mammalia,Thylogale,52233471,"[2, 0]",58.52,"[8, 4]","[564, 415, 112, 419, 517]","[222, 222, 222, 222, 279]",[32],"[800.0, 2000.0]",65.0,[16],1749.0,407.0,399.0,,Stable
43047,Erinaceus amurensis,Erinaceidae,Animalia,Chordata,Erinaceus,Mammalia,Erinaceus,45509319,"[2, 0]",57.0,[8],[],"[122, 252, 158, 143, 65]","[8, 21, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",41020.0,,,1.0,Stable
43115,Sylvilagus audubonii,Leporidae,Animalia,Chordata,Sylvilagus,Mammalia,Sylvilagus,1056060,"[2, 0]",56.83,[8],"[394, 60, 66, 293, 273]","[188, 98, 66]",[32],"[2000.0, 500.0]",40.0,[16],4391.0,,,,Stable
43138,Lepus tolai,Leporidae,Animalia,Chordata,Lepus,Mammalia,Lepus,331009,"[2, 0]",,[8],"[444, 15, 292, 559, 494]","[58, 276, 237, 15, 237]","[17, 57, 34, 32]",,,[13],,404.0,313.0,,Decreasing
43145,Lepus townsendii,Leporidae,Animalia,Chordata,Lepus,Mammalia,Lepus,913086,"[2, 0]",760.0,"[0, 3]","[215, 27, 452, 243, 233]","[108, 115, 116, 117, 108]","[82, 42, 54, 32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",12826.0,408.0,381.0,1.0,Decreasing
43236,Ornithorhynchus anatinus,Ornithorhynchidae,Animalia,Chordata,Ornithorhynchus,Mammalia,Ornithorhynchus,45509003,"[2, 0]","[30.0, 39.0, 35.0]",[8],"[164, 246, 523, 23]","[143, 131, 257, 227, 208]","[82, 42, 26, 32, 82]","[5000.0, 1000.0]",20.0,"[11, 12]",180694.0,1716.0,1332.0,16.0,Stable
43353,Tapirus terrestris,Tapiridae,Animalia,Chordata,Tapirus,Mammalia,Tapirus,1052884,"[2, 0]",33.1,[8],"[97, 509, 510, 397, 531]","[122, 143, 58, 22, 143]","[53, 54, 20, 81, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",87276.0,1717.0,1641.0,16.0,Stable
43375,Callithrix aurita,Callitrichidae,Animalia,Chordata,Callithrix,Mammalia,Callithrix,1019113,"[2, 1, 3]",,[8],"[259, 160, 429, 218, 569]","[222, 279, 49, 19, 18]","[16, 62, 17, 56, 34]","[300.0, 500.0, 80.0, 30.0]",80.0,[8],5591.0,3400.0,3288.0,6.0,Unknown
43448,Macaca radiata,Cercopithecidae,Animalia,Chordata,Macaca,Mammalia,Macaca,45512566,"[2, 0]","[164.0, 193.0]","[5, 8]","[168, 261, 531, 97, 397]","[143, 122, 144, 158, 143]","[74, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",,318.0,304.0,1.0,Decreasing
43455,Macaca nemestrina,Cercopithecidae,Animalia,Chordata,Macaca,Mammalia,Macaca,45518594,"[2, 0]",75.0,[8],[499],"[34, 119, 188, 66, 50]","[5, 53, 20, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",114348.0,,,13.0,Decreasing
43523,Chlorocebus aethiops,Cercopithecidae,Animalia,Chordata,Chlorocebus,Mammalia,Chlorocebus,45512027,"[2, 0]",840.0,[8],"[310, 463, 166, 318, 378]","[220, 134, 158, 177, 252]","[98, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",36404.0,1097.0,899.0,5.0,Decreasing
43530,Theropithecus gelada,Cercopithecidae,Animalia,Chordata,Theropithecus,Mammalia,Theropithecus,52571173,"[2, 0]",,[],[],"[148, 33, 234, 42]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",,,,,nan
43567,Otolemur crassicaudatus,Galagidae,Animalia,Chordata,Otolemur,Mammalia,Otolemur,60782263,[],,[],[],[],[],,,[],,,,,nan
43606,Avahi laniger,Indriidae,Animalia,Chordata,Avahi,Mammalia,Avahi,60973381,"[2, 0]",,[],[],[262],[],"[5000.0, 1000.0]",20.0,"[11, 12]",,,,,nan
43712,Dasyprocta punctata,Dasyproctidae,Animalia,Chordata,Dasyprocta,Mammalia,Dasyprocta,45515101,"[2, 0]",200.0,[8],[],"[117, 232, 108, 273, 9]","[32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",35949.0,,,5.0,Decreasing
43759,Bathyergus suillus,Bathyergidae,Animalia,Chordata,Bathyergus,Mammalia,Bathyergus,795591,"[2, 0, 0]",6107.27,"[11, 8]",[],"[48, 48, 98, 53]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",469.0,372.0,315.0,1.0,Stable
43840,Zapus hudsonius,Dipodidae,Animalia,Chordata,Zapus,Mammalia,Zapus,1025412,"[2, 1]",,[8],"[151, 97, 10, 545, 183]","[122, 102, 31, 58, 22]","[32, 34, 46]",,,[13],10223.0,980.0,703.0,,Stable
43848,Napaeozapus insignis,Dipodidae,Animalia,Chordata,Napaeozapus,Mammalia,Napaeozapus,45510232,"[2, 0]",74.0,[8],"[130, 588, 61, 349, 515]","[57, 258, 146, 58, 154]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",25510.0,578.0,561.0,8.0,Decreasing
44104,Dipodomys simulans,Heteromyidae,Animalia,Chordata,Dipodomys,Mammalia,Dipodomys,332998,"[2, 0]",,"[8, 8]","[45, 590, 282, 77, 408]","[229, 1, 129, 99, 10]","[82, 46, 30, 82, 63]",,,[13],,,,9.0,Decreasing
44570,Rattus fuscipes,Muridae,Animalia,Chordata,Rattus,Mammalia,Rattus,45510093,"[2, 0]","[10.0, 11.8]",[8],"[36, 529, 226, 160, 219]","[63, 241, 57, 62, 80]","[44, 20, 82, 78, 5]","[1000.0, 5000.0]",10.0,"[11, 12]",2879708.0,34123.0,30889.0,119.0,Stable
45932,Petromus typicus,Petromuridae,Animalia,Chordata,Petromus,Mammalia,Petromus,129521,"[2, 0]","[20500.0, 2553.75, 16300.0, 2500.0, 22907.43]",[8],"[84, 264, 179, 446, 571]","[114, 64, 111, 235, 222]","[10, 53, 32, 58, 32]",,,"[16, 16, 14, 8]",1787.0,1518.0,1273.0,,Decreasing
46014,Sciurus alleni,Sciuridae,Animalia,Chordata,Sciurus,Mammalia,Sciurus,45518279,"[2, 0]",40.5,[],"[537, 379]","[34, 188, 66]",[53],"[1000.0, 5000.0]",10.0,"[11, 12]",17901.0,,,,nan
46116,Paraxerus ochraceus,Sciuridae,Animalia,Chordata,Paraxerus,Mammalia,Paraxerus,45518064,"[2, 0]","[11.5, 11.5]",[8],"[40, 431, 326, 584, 142]","[34, 188, 66, 98]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",13804.0,,,,Decreasing
46180,Cynomys gunnisoni,Sciuridae,Animalia,Chordata,Cynomys,Mammalia,Cynomys,45511159,"[2, 0]","[42.5, 57.3, 42.3]",[8],"[493, 172, 26, 387, 95]","[63, 57, 241, 222, 118]","[20, 5, 56, 22, 60]","[1000.0, 5000.0]",10.0,"[11, 11, 12]",7285210.0,63673.0,56778.0,461.0,Decreasing
46217,Tamias striatus,Sciuridae,Animalia,Chordata,Tamias,Mammalia,Tamias,45509335,"[2, 0]",275.0,[8],"[37, 265, 125, 286, 239]","[122, 252, 134, 220, 177]","[26, 32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",74510.0,2191.0,2009.0,2.0,Stable
46296,Tupaia belangeri,Tupaiidae,Animalia,Chordata,Tupaia,Mammalia,Tupaia,45518515,"[2, 0]",,[8],[],"[34, 66]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",11890.0,219.0,209.0,55.0,Stable
46471,Sorex minutus,Soricidae,Animalia,Chordata,Sorex,Mammalia,Sorex,461491,"[2, 0, 0]",540.39,[8],"[21, 101, 210, 350, 445]","[1, 47, 239, 239, 127]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 3, 15]",,,,14.0,Stable
46994,Scapanus latimanus,Talpidae,Animalia,Chordata,Scapanus,Mammalia,Scapanus,45512269,"[2, 0]",2.3,"[0, 8]","[0, 587, 281, 260, 124]","[122, 225, 122, 251, 200]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",7359.0,179.0,159.0,,Stable
47049,Parascalops breweri,Talpidae,Animalia,Chordata,Parascalops,Mammalia,Parascalops,1047310,"[2, 0]","[383.0, 342.0]","[0, 8]","[446, 92, 105, 338, 35]","[147, 232, 226, 141, 140]","[44, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",6315.0,346.0,311.0,,Decreasing
47062,Orycteropus afer,Orycteropodidae,Animalia,Chordata,Orycteropus,Mammalia,Orycteropus,45510625,"[2, 0]","[3628.8, 1901.0, 1693.0]",[7],"[517, 564, 112, 369, 194]","[63, 222, 222, 118, 118]","[1, 42, 44, 17, 43]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",21522.0,1295.0,1217.0,9.0,Decreasing
47107,Myrmecophaga tridactyla,Myrmecophagidae,Animalia,Chordata,Myrmecophaga,Mammalia,Myrmecophaga,45517590,"[2, 0]",,[8],[],"[204, 33, 33, 204, 98]","[32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",44745.0,553.0,468.0,2.0,Stable
54549,Pygoscelis antarcticus,Spheniscidae,Animalia,Chordata,Pygoscelis,Aves,Pygoscelis,1019222,"[2, 3, 1]",,[8],"[277, 218, 429, 569]","[222, 279, 49, 153, 163]","[78, 17, 32, 34]","[300.0, 80.0, 500.0, 30.0]",80.0,[8],,3783.0,2918.0,9.0,Stable
59815,Sorex cinereus,Soricidae,Animalia,Chordata,Sorex,Mammalia,Sorex,45518942,"[2, 0]",114.0,"[0, 8]","[146, 241, 141, 399, 580]","[83, 33, 185, 234, 148]","[94, 53, 44, 32]","[1000.0, 5000.0]",-15.0,"[11, 12]",164724.0,3153.0,2853.0,3.0,Stable
60348,Lampropeltis nigra,Colubridae,Animalia,Chordata,Lampropeltis,Squamata,Lampropeltis,45509872,"[2, 0]",233.0,[10],[],"[128, 146, 237, 15, 276]","[56, 0, 32]","[1000.0, 5000.0]",10.0,"[11, 11, 12]",,,,2.0,Decreasing
62797,Gambelia wislizenii,Crotaphytidae,Animalia,Chordata,Gambelia,Squamata,Gambelia,52233844,"[2, 0]","[15.7, 95.18]",[8],"[47, 303, 34, 500, 73]","[222, 1, 276, 223, 45]","[32, 32]","[2000.0, 500.0]",40.0,[16],10500.0,5351.0,4863.0,,Decreasing
64387,Paramesotriton hongkongensis,Salamandridae,Animalia,Chordata,Paramesotriton,Amphibia,Paramesotriton,323956,"[2, 0]","[3690.0, 391.33, 2000.0, 3735.0, 1300.0]","[0, 10]","[284, 249, 437, 451, 248]","[33, 33, 222, 47, 98]","[42, 82, 22, 56, 53]",,,"[19, 9, 6, 8]",,2143.0,2038.0,,Decreasing
64970,Anaxyrus boreas,Bufonidae,Animalia,Chordata,Anaxyrus,Amphibia,Anaxyrus,45509726,"[2, 0]","[79.38, 72.0, 90.5]","[8, 3]","[401, 538, 71, 400, 470]","[241, 63, 222, 222, 58]","[58, 5, 10, 32, 56]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",1396921.0,19643.0,18204.0,,Decreasing
64973,Anaxyrus cognatus,Bufonidae,Animalia,Chordata,Anaxyrus,Amphibia,Anaxyrus,327583,"[2, 0]","[7.7, 7.7, 7.56]",[8],"[343, 8, 217, 20, 339]","[89, 30, 46, 3, 210]",[32],,,"[11, 11, 8]",,491.0,353.0,20.0,Stable
64985,Anaxyrus quercicus,Bufonidae,Animalia,Chordata,Anaxyrus,Amphibia,Anaxyrus,311178,"[2, 0]","[17050.0, 464.5, 3900.0, 12242.33, 14221.0]","[0, 8, 2]","[481, 245]","[235, 235, 51, 56, 143]","[69, 32, 53, 58, 32]",,,"[9, 6, 8]",,247.0,155.0,,Decreasing
65212,Craugastor augusti,Craugastoridae,Animalia,Chordata,Craugastor,Amphibia,Craugastor,45515578,"[2, 0]",,[8],"[46, 562, 243, 115, 67]","[235, 108, 11, 117, 64]","[44, 34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",153340.0,,,16.0,Stable
65373,Dendropsophus microcephalus,Hylidae,Animalia,Chordata,Dendropsophus,Amphibia,Dendropsophus,45518545,"[2, 0]",,[8],[],"[34, 66, 98]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",65060.0,388.0,378.0,4.0,Stable
65864,Ingerophrynus celebensis,Bufonidae,Animalia,Chordata,Ingerophrynus,Amphibia,Ingerophrynus,46324029,"[2, 0]",,[8],"[562, 145, 446, 152, 546]","[273, 273, 56, 22, 98]","[34, 32]",,,[13],,2308.0,1950.0,19.0,Increasing
65987,Lithobates heckscheri,Ranidae,Animalia,Chordata,Lithobates,Amphibia,Lithobates,1055103,"[2, 0]",8.52,[8],"[253, 461, 95, 299, 204]","[222, 279, 58, 276, 126]","[73, 73, 35, 35, 73]","[2000.0, 500.0]",40.0,"[19, 16]",27452.0,12919.0,12243.0,75.0,Stable
66020,Lithobates yavapaiensis,Ranidae,Animalia,Chordata,Lithobates,Amphibia,Lithobates,963761,"[2, 0]","[6.532, 6.853, 6.685, 5.819, 6.784]",[],"[368, 427, 154, 458, 568]","[188, 98, 66]","[41, 41, 41, 41, 41]","[2000.0, 500.0]",40.0,[16],3371.0,,,,nan
67105,Rhinella crucifer,Bufonidae,Animalia,Chordata,Rhinella,Amphibia,Rhinella,913095,"[2, 0]","[448.0, 357.0]","[0, 8]","[300, 268, 88, 273, 149]","[72, 119, 34, 50, 168]","[2, 82, 78, 20, 43]","[5000.0, 1000.0]",20.0,"[11, 12]",39474.0,1252.0,1137.0,3.0,Stable
67185,Silverstoneia flotator,Dendrobatidae,Animalia,Chordata,Silverstoneia,Amphibia,Silverstoneia,45518763,"[2, 0]","[14.6, 11.4]",[8],"[131, 442, 394, 268, 293]","[34, 188, 66, 228, 152]","[5, 82, 53, 32, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",446230.0,,,3.0,Stable
67188,Smilisca fodiens,Hylidae,Animalia,Chordata,Smilisca,Amphibia,Smilisca,45515178,"[2, 0]",45.8,[8],"[338, 371, 433, 243, 581]","[147, 259, 12, 108, 114]","[20, 82, 53, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",91722.0,,,8.0,Stable
67819,Arvicola amphibius,Cricetidae,Animalia,Chordata,Arvicola,Mammalia,Arvicola,52232836,"[2, 0]",,[8],"[427, 269, 131, 66, 442]","[34, 188, 66, 98]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",,,,,Stable
68339,Elaphe climacophora,Colubridae,Animalia,Chordata,Elaphe,Squamata,Elaphe,1039106,"[2, 0]",,[8],"[569, 424, 277]","[222, 279, 79, 179, 2]","[32, 34]",,,[13],,199.0,179.0,7.0,Stable
69696,Chrysomus ruficapillus,Icteridae,Animalia,Chordata,Chrysomus,Aves,Chrysomus,45511720,"[2, 0]",39.2,[8],"[177, 1, 255, 91]","[57, 58, 279, 126, 276]","[81, 20, 54, 53, 5]","[1000.0, 5000.0]",10.0,"[11, 12]",,,,1.0,Decreasing
70725,Lithobates brownorum,Ranidae,Animalia,Chordata,Lithobates,Amphibia,Lithobates,45512418,"[2, 0]",5.3,"[0, 8]","[378, 318, 185, 266, 207]","[252, 177, 252, 177, 134]","[54, 20, 53, 81, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",35351.0,1305.0,1003.0,,Stable
72667,Chloropsis jerdoni,Chloropseidae,Animalia,Chordata,Chloropsis,Aves,Chloropsis,791402,"[2, 0, 0]",,[8],"[155, 27, 357, 376, 426]","[56, 22, 98, 98, 108]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",,806.0,,,Stable
72731,Cisticola fulvicapilla,Cisticolidae,Animalia,Chordata,Cisticola,Aves,Cisticola,458673,"[2, 0, 0]",383.77,[8],"[186, 205, 530, 139, 45]","[1, 276, 49, 61, 29]","[12, 32, 34, 27]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",43016.0,,,33.0,Decreasing
73106,Notharchus hyperrhynchus,Bucconidae,Animalia,Chordata,Notharchus,Aves,Notharchus,45515853,"[2, 0]",268.0,[8],"[35, 528, 327, 485, 108]","[0, 78, 250, 191, 175]","[82, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",8459.0,,,2.0,Decreasing
73172,Peucaea aestivalis,Passerellidae,Animalia,Chordata,Peucaea,Aves,Peucaea,1049949,"[2, 0]","[250.0, 250.0]",[8],"[293, 537, 103, 324, 394]","[34, 222, 188, 66]","[44, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",9956.0,449.0,340.0,2.0,Decreasing
73224,Phoenicurus erythrogastrus,Muscicapidae,Animalia,Chordata,Phoenicurus,Aves,Phoenicurus,794629,"[2, 0]",1694.32,[8],[330],"[1, 49]",[32],"[2000.0, 500.0]",40.0,[16],1182.0,721.0,681.0,,Stable
73475,Tchagra senegalus,Malaconotidae,Animalia,Chordata,Tchagra,Aves,Tchagra,914639,"[2, 0]",,[8],"[589, 351, 332, 70, 296]","[33, 264, 47, 1, 98]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",40540.0,586.0,496.0,,Stable
73801,Plestiodon septentrionalis,Scincidae,Animalia,Chordata,Plestiodon,Squamata,Plestiodon,45513760,"[2, 0]","[416.0, 376.0, 461.0]",[8],"[554, 304, 495, 107, 186]","[29, 246, 1, 49, 224]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",,,,2.0,Decreasing
73849,Liolaemus nitidus,Liolaemidae,Animalia,Chordata,Liolaemus,Squamata,Liolaemus,333298,"[2, 0]",,[8],"[580, 405, 248, 28, 69]","[90, 107, 47, 98, 50]","[32, 34]",,,[13],,1877.0,1586.0,,Stable
73903,Phoenicolacerta troodica,Lacertidae,Animalia,Chordata,Phoenicolacerta,Squamata,Phoenicolacerta,127969,"[2, 0]","[3500.0, 3150.0, 3628.4]",[8],"[576, 433, 483, 256, 462]","[124, 0, 273, 56, 1]","[17, 44, 13, 30, 53]",,,"[16, 5, 8]",,569.0,436.0,,Stable
74204,Corynorhinus rafinesquii,Vespertilionidae,Animalia,Chordata,Corynorhinus,Mammalia,Corynorhinus,45513612,"[2, 0]","[15.0, 16.0]",[8],"[398, 321, 28, 589, 556]","[83, 185, 173, 40, 204]","[32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",615837.0,6153.0,5463.0,8.0,Increasing
74321,Eudorcas thomsonii,Bovidae,Animalia,Chordata,Eudorcas,Mammalia,Eudorcas,328036,"[2, 0]","[5.05, 6000.0, 5435.0, 6600.0, 4200.0]","[5, 8]","[385, 39, 440, 478, 10]","[146, 144, 177, 220, 258]","[53, 20, 10, 5, 0]",,,"[2, 16, 5, 8]",,1751.0,1403.0,5.0,Decreasing
74443,Hydrochoerus isthmius,Caviidae,Animalia,Chordata,Hydrochoerus,Mammalia,Hydrochoerus,1048189,"[2, 0]",,[8],"[168, 531, 397, 510, 261]","[58, 22, 122, 122]","[53, 20, 54, 81, 34]",,,[13],,381.0,261.0,,Stable
93486,Afrogecko porphyreus,Gekkonidae,Animalia,Chordata,Afrogecko,Squamata,Afrogecko,45510354,"[2, 0]",,[8],[],"[63, 241, 219, 149, 156]","[32, 65]","[1000.0, 5000.0]",10.0,"[11, 12]",17366558.0,,,310.0,Increasing
96386,Cacomantis passerinus,Cuculidae,Animalia,Chordata,Cacomantis,Aves,Cacomantis,912805,"[2, 0]","[8185.0, 8575.0]","[0, 3]","[27, 67, 314, 547, 452]","[115, 247, 116, 139, 108]","[1, 17, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",33315.0,691.0,624.0,,Decreasing
98781,Ctenotus taeniolatus,Scincidae,Animalia,Chordata,Ctenotus,Squamata,Ctenotus,45514938,"[2, 0]",21.6,[8],"[346, 140, 315, 571, 528]","[191, 64, 12, 51, 235]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",14648.0,,,,Stable
111451,Python natalensis,Pythonidae,Animalia,Chordata,Python,Squamata,Python,4505346,"[2, 0]",,[8],[],[193],[32],"[2000.0, 500.0]",40.0,[16],470.0,328.0,317.0,,Stable
113754,Takydromus wolteri,Lacertidae,Animalia,Chordata,Takydromus,Squamata,Takydromus,45510835,"[2, 0]",129.0,"[0, 8]","[438, 59, 30, 545, 328]","[134, 177, 158, 122, 252]","[8, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",32221.0,774.0,700.0,2.0,Increasing
116798,Acrocephalus gracilirostris,Acrocephalidae,Animalia,Chordata,Acrocephalus,Aves,Acrocephalus,45510333,"[2, 0]",,[8],[],"[63, 241, 222, 276, 49]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",2476449.0,25323.0,21599.0,,Decreasing
116868,Chaetops aurantius,Chaetopidae,Animalia,Chordata,Chaetops,Aves,Chaetops,1052093,"[2, 0]",11.0,[8],"[311, 409, 402, 566, 55]","[57, 258, 170, 58, 170]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",8785.0,281.0,278.0,,Decreasing
116872,Cincloramphus cruralis,Locustellidae,Animalia,Chordata,Megalurus,Aves,Megalurus,334471,"[2, 0]",,[8],"[27, 452]","[56, 108, 108]",[32],,,[13],251.0,340.0,290.0,,Unknown
116950,Lybius torquatus,Lybiidae,Animalia,Chordata,Lybius,Aves,Lybius,311789,"[2, 0]","[53.6, 53.6]",[],"[299, 4]","[82, 71, 95, 222, 279]",[73],,,"[9, 5, 8]",,387.0,266.0,99.0,nan
117054,Phylloscopus trochiloides,Phylloscopidae,Animalia,Chordata,Phylloscopus,Aves,Phylloscopus,45514523,"[2, 0]",11.1,[8],"[344, 452, 2, 27, 233]","[108, 115, 56, 115, 117]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",98248.0,,,9.0,Decreasing
117079,Pterocles bicinctus,Pteroclididae,Animalia,Chordata,Pterocles,Aves,Pterocles,45509408,"[2, 0]",57.0,[8],"[33, 130, 491, 515, 63]","[63, 15, 258, 146, 57]","[60, 5, 93, 10, 6]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",814321.0,,,37.0,Increasing
117097,Regulus ignicapilla,Regulidae,Animalia,Chordata,Regulus,Aves,Regulus,1056404,"[2, 0, 0]",78.31,[8],"[352, 213, 409, 402, 512]","[126, 58]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",459.0,,,,Stable
117180,Semnornis ramphastinus,Semnornithidae,Animalia,Chordata,Semnornis,Aves,Semnornis,45514071,"[2, 0]",23.6,[8],"[534, 528, 548, 465, 571]","[232, 117, 108, 140, 56]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",30821.0,859.0,602.0,6.0,Stable
144243,Picus viridis,Picidae,Animalia,Chordata,Picus,Aves,Picus,45514519,"[2, 0]","[9.0, 11.0, 9.6]",[8],"[519, 35, 152, 423, 116]","[11, 263, 191, 147, 109]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",248698.0,,,7.0,Stable
144298,Thamnolaea cinnamomeiventris,Muscicapidae,Animalia,Chordata,Thamnolaea,Aves,Thamnolaea,45515397,"[2, 0]",,[8],[],"[147, 232, 108, 114, 273]","[32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",18669.0,,,1.0,Increasing
144460,Micronisus gabar,Accipitridae,Animalia,Chordata,Micronisus,Aves,Micronisus,331285,"[1, 2]",,"[8, 13]","[204, 226, 118, 449, 316]","[126, 222, 279, 126, 199]","[44, 18, 65, 10, 39]",,,[13],,1364.0,1200.0,50.0,Stable
144468,Aquila spilogaster,Accipitridae,Animalia,Chordata,Aquila,Aves,Aquila,45518589,"[2, 0]",,[8],"[584, 368, 524, 324, 293]","[34, 188, 98, 66]","[17, 44, 95, 34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",,3980.0,3494.0,9.0,Decreasing
144469,Hieraaetus wahlbergi,Accipitridae,Animalia,Chordata,Hieraaetus,Aves,Hieraaetus,311546,"[2, 0]","[70.4, 70.0, 70.2]",[],"[417, 7]","[126, 87, 80, 222, 279]","[5, 17, 17, 17, 56]",,,"[9, 5, 8]",,278.0,260.0,127.0,nan
