id,scientific_name,family,kingdom,phylum,parent,class,genus
73801,Plestiodon septentrionalis,Scincidae,Animalia,Chordata,Plestiodon,Squamata,Plestiodon
1289647,Chrysuronia versicolor,Trochilidae,Animalia,Chordata,Chrysuronia,Aves,Chrysuronia
604225,Pycnonotus plumosus,Pycnonotidae,Animalia,Chordata,Pycnonotus,Aves,Pycnonotus
11586,Lepidocolaptes leucogaster,Furnariidae,Animalia,Chordata,Lepidocolaptes,Aves,Lepidocolaptes
145310,Spinus tristis,Fringillidae,Animalia,Chordata,Spinus,Aves,Spinus
13471,Acanthiza reguloides,Acanthizidae,Animalia,Chordata,Acanthiza,Aves,Acanthiza
117180,Semnornis ramphastinus,Semnornithidae,Animalia,Chordata,Semnornis,Aves,Semnornis
145338,Granatina granatina,Estrildidae,Animalia,Chordata,Uraeginthus,Aves,Uraeginthus
27097,Eurycea multiplicata,Plethodontidae,Animalia,Chordata,Eurycea,Amphibia,Eurycea
15035,Melanotis caerulescens,Mimidae,Animalia,Chordata,Melanotis,Aves,Melanotis
5376,Butastur rufipennis,Accipitridae,Animalia,Chordata,Butastur,Aves,Butastur
7562,Troglodytes aedon,Troglodytidae,Animalia,Chordata,Troglodytes,Aves,Troglodytes
144243,Picus viridis,Picidae,Animalia,Chordata,Picus,Aves,Picus
33002,Furcifer verrucosus,Chamaeleonidae,Animalia,Chordata,Furcifer,Squamata,Furcifer
29508,Lycophidion capense,Lamprophiidae,Animalia,Chordata,Lycophidion,Squamata,Lycophidion
367535,Psilopogon zeylanicus,Megalaimidae,Animalia,Chordata,Psilopogon,Aves,Psilopogon
1368519,Saimiri cassiquiarensis,Cebidae,Animalia,Chordata,Saimiri,Mammalia,Saimiri
33297,Cyrtodactylus quadrivirgatus,Gekkonidae,Animalia,Chordata,Cyrtodactylus,Squamata,Cyrtodactylus
26555,Polypedates maculatus,Rhacophoridae,Animalia,Chordata,Polypedates,Amphibia,Polypedates
9523,Melozone kieneri,Passerellidae,Animalia,Chordata,Melozone,Aves,Melozone
19055,Poicephalus meyeri,Psittacidae,Animalia,Chordata,Poicephalus,Aves,Poicephalus
31226,Ctenophorus pictus,Agamidae,Animalia,Chordata,Ctenophorus,Squamata,Ctenophorus
98781,Ctenotus taeniolatus,Scincidae,Animalia,Chordata,Ctenotus,Squamata,Ctenotus
827392,Malurus assimilis,Maluridae,Animalia,Chordata,Malurus,Aves,Malurus
10719,Trichothraupis melanops,Thraupidae,Animalia,Chordata,Trichothraupis,Aves,Trichothraupis
8076,Artamus minor,Artamidae,Animalia,Chordata,Artamus,Aves,Artamus
43712,Dasyprocta punctata,Dasyproctidae,Animalia,Chordata,Dasyprocta,Mammalia,Dasyprocta
8217,Laniarius bicolor,Malaconotidae,Animalia,Chordata,Laniarius,Aves,Laniarius
7058,Aythya novaeseelandiae,Anatidae,Animalia,Chordata,Aythya,Aves,Aythya
4191,Phoebetria palpebrata,Diomedeidae,Animalia,Chordata,Phoebetria,Aves,Phoebetria
16765,Attila rufus,Tyrannidae,Animalia,Chordata,Attila,Aves,Attila
42122,Phacochoerus africanus,Suidae,Animalia,Chordata,Phacochoerus,Mammalia,Phacochoerus
1289480,Curruca hortensis,Sylviidae,Animalia,Chordata,Sylvia,Aves,Sylvia
11970,Stelgidopteryx serripennis,Hirundinidae,Animalia,Chordata,Stelgidopteryx,Aves,Stelgidopteryx
180001,Urocitellus parryii,Sciuridae,Animalia,Chordata,Urocitellus,Mammalia,Urocitellus
144298,Thamnolaea cinnamomeiventris,Muscicapidae,Animalia,Chordata,Thamnolaea,Aves,Thamnolaea
5231,Terathopius ecaudatus,Accipitridae,Animalia,Chordata,Terathopius,Aves,Terathopius
8705,Pachyramphus castaneus,Cotingidae,Animalia,Chordata,Pachyramphus,Aves,Pachyramphus
42715,Acrobates pygmaeus,Acrobatidae,Animalia,Chordata,Acrobates,Mammalia,Acrobates
2264,Coracias cyanogaster,Coraciidae,Animalia,Chordata,Coracias,Aves,Coracias
144761,Heteromyias cinereifrons,Petroicidae,Animalia,Chordata,Heteromyias,Aves,Heteromyias
339693,Aegithalos glaucogularis,Aegithalidae,Animalia,Chordata,Aegithalos,Aves,Aegithalos
42223,Odocoileus virginianus,Cervidae,Animalia,Chordata,Odocoileus,Mammalia,Odocoileus
