lat_grid,long_grid,BIO1,BIO5,BI06,BIO12,BIO15,gridID,habitat
-51.0,-73.5,0.6638463214039804,8.90499997138977,-6.7191874980926505,1386.75,15.179394006729126,72,1
-51.0,-73.0,4.441954731941223,14.634896278381348,-4.160083452860515,723.8333333333334,12.581663131713867,73,1
-51.0,166.0,7.273989756902059,11.903407414754232,3.7680349747339883,1538.6666666666667,10.858457644780477,74,1
-50.5,-73.5,5.01353657245636,14.245062351226807,-2.8826250433921814,973.75,11.034685611724854,75,1
-50.5,-73.0,4.504614591598511,14.588437795639038,-4.127062380313873,698.75,15.707982301712038,76,1
-50.5,-72.5,6.040851184300014,16.735857146126882,-3.456892762865339,302.14285714285717,28.17164966038295,77,1
-50.5,166.0,8.546759605407715,12.800000190734863,5.0333333015441895,1459.0,10.701335906982422,78,1
-50.0,-73.5,4.219947814941406,14.05424976348877,-4.114500045776367,1043.0,11.512730598449709,79,1
-50.0,-72.5,7.924333572387695,18.25925064086914,-1.3207499980926514,235.0,29.54885673522949,80,1
-50.0,178.5,8.588821138654437,15.800125394548688,2.0780702318464006,822.7142857142857,22.04814556666783,81,1
-49.5,-73.0,5.286020906347978,15.099144785027756,-3.095710503427606,881.2631578947369,18.023466812936885,82,1
-49.5,-72.0,7.989666938781738,19.79075050354004,-1.9517500400543213,258.0,25.811193466186523,83,1
-49.5,69.5,4.525023937225342,10.952983379364014,-0.8530789315700531,759.0,11.919614791870117,84,1
-49.0,-73.0,5.409812450408936,15.20199966430664,-2.8777499198913574,787.0,16.1180362701416,85,1
-49.0,-72.0,3.946270942687988,15.47624969482422,-5.583499908447266,302.0,27.01499938964844,86,1
-49.0,-71.0,8.75865650177002,21.56399917602539,-2.127000093460083,158.0,23.08674430847168,87,1
-48.5,-73.0,7.059312343597412,17.232500076293945,-1.6859999895095823,712.0,16.71462631225586,88,1
-48.5,-72.5,5.133604049682617,15.599499702453612,-3.800999879837036,578.0,19.56300926208496,89,1
-48.0,-72.5,4.011614799499512,15.597999572753906,-5.590499877929688,366.0,27.39271354675293,90,1
-47.5,-72.0,2.287874937057495,14.094249725341797,-7.530250072479248,326.0,24.77510643005371,91,3
-47.5,-71.5,8.231656312942505,20.95212459564209,-2.5453749895095825,149.5,27.785364151000977,92,1
-47.5,-71.0,7.058135509490967,19.964250564575195,-3.717250108718872,152.0,26.71817398071289,93,1
-47.0,-75.0,8.529341697692871,15.281052589416504,2.307368516921997,2637.0,8.60404109954834,94,1
-47.0,-73.0,5.650062561035156,15.524749755859377,-2.9184999465942383,1093.0,24.63576316833496,95,1
-47.0,-72.5,5.604395866394043,16.104000091552734,-3.656749963760376,762.0,27.56425666809082,96,1
-47.0,37.5,5.715068340301514,11.176712036132812,1.0041096210479736,2203.0,6.866243362426758,97,1
-47.0,168.0,9.91870346069336,17.164850997924805,2.9895193338394166,1178.5,16.828586578369144,98,1
-47.0,168.5,10.28225580851237,19.00798225402832,1.7958725293477376,1054.6666666666667,17.988862991333008,99,1
-47.0,169.0,9.820457458496094,18.459204991658527,1.8837604920069377,1112.6666666666667,17.743438720703125,100,1
-46.5,-73.5,6.29701042175293,14.806106567382812,-1.4557251930236816,1935.0,18.14712142944336,101,1
-46.5,-72.5,4.137875080108643,14.404999732971191,-4.997250080108643,897.0,35.176570892333984,102,1
-46.5,168.0,10.323859850565592,19.342030298142205,1.3215133235568093,989.2380952380952,17.545058023361932,103,1
-46.5,168.5,9.646199989318848,19.042350006103515,0.9781500339508057,1252.2,17.19808692932129,104,1
-46.5,169.0,8.918593406677246,18.04050064086914,0.8877500295639038,1204.0,15.780125617980955,105,1
-46.5,169.5,9.653008460998535,18.980356216430664,1.259948968887329,982.0,15.51871109008789,106,1
-46.5,170.0,10.055322647094727,19.449902216593426,1.224873224894206,778.3333333333334,13.071029345194498,107,1
-46.0,-72.5,7.161041736602783,17.391000747680664,-1.982499957084656,1161.0,40.66445159912109,108,1
-46.0,-72.0,6.85742712020874,18.39274978637696,-2.994999885559082,632.0,48.35808181762695,109,1
-46.0,167.0,8.630093574523926,16.95775032043457,1.9845000505447388,1723.0,15.073882102966309,110,1
-46.0,167.5,9.442822456359863,18.6259994506836,1.7610000371932983,1629.0,12.43388843536377,111,1
